id_conteo,etiqueta,cod_ruta,progresiva,descripcio,distrito,lon,lat
7128,RN 9,0009,1299,B/N R.P.305 (D) - INT.ACC.NORTE A TUCUMAN (I),Tucum�n,-65.19981806832696,-26.784681312381363
6798,RN 9,0009,1302,INT.ACC.NORTE A TUCUMAN (I) - B/N R.P.315,Tucum�n,-65.21597082638458,-26.76903491795402
7118,RN 9,0009,1319,B/N R.P.347 (EL CADILLAL) - INT.R.P.341,Tucum�n,-65.26455931251564,-26.618123656731903
7364,RN 9,0009,1351,INT.R.P.341 - INT.R.P.311 (I),Tucum�n,-65.28891060416483,-26.352518072504104
6450,RN 9,0009,1439,EMP.R.N.34 (D) (P.SUP.) - ACC.A METAN (D),Salta,-64.94345211917854,-25.68514819134417
7006,RN 9,0009,1540,INT.R.N.16 (D) - EMP.R.N.34 (D) (FIN SUP.),Salta,-65.00671214451047,-24.86300480237105
7090,RN 9,0009,1567,EMP.R.N.34 (D) (FIN SUP.) - SALTA (ENT.),Salta,-65.13621699093589,-24.770051364366434
6299,RN 9,0009,1637,ACC.A LA CALDERA (I) - LTE.C/JUJUY,Salta,-65.3530798918677,-24.52136889746146
7166,RN 9,0009,1669,INT.R.P.42 (EL CARMEN) - INT.R.P.8 (I) (LOS ALISOS),Jujuy,-65.25345061262774,-24.372634190012032
6148,RN 9,0009,1682,INT.R.P.8 (I) (LOS ALISOS) - ACC.A BARRIO D.N.V. (D),Jujuy,-65.27504949799113,-24.264156525368723
6012,RN 9,0009,1692,A/N BARRIO MORENO - A/N BARRIO CUYAYA,Jujuy,-65.31467346938605,-24.19830578130321
5893,RN 9,0009,1693,A/N BARRIO CUYAYA - B/N AVDA.J.J.CARRILLO,Jujuy,-65.31988073051033,-24.190454127830968
6916,RN 9,0009,1697,B/N AVDA.J.J.CARRILLO - A/N ACC.A LOS MOLINOS,Jujuy,-65.35456008408342,-24.17743844401064
6164,RN 9,0009,1702,A/N ACC.A LOS MOLINOS - INT.R.P.4 (I),Jujuy,-65.39080130660062,-24.149192790994675
7155,RN 9,0009,1733,INT.R.P.4 (I) - INT.R.N.52 (I),Jujuy,-65.46392760223915,-23.90851900242234
7137,RN 9,0009,1764,INT.R.N.52 (I) - ACC.A TILCARA,Jujuy,-65.42727782426817,-23.649726601348203
6159,RN 9,0009,1800,ACC.A TILCARA - HUMAHUACA,Jujuy,-65.34684639960369,-23.352551988773318
7154,RN 9,0009,1850,HUMAHUACA - INT.EX R.N.40 (I),Jujuy,-65.41285636341718,-22.94835600088127
7164,RN 9,0009,1896,INT.EX R.N.40 (I) - ABRA PAMPA,Jujuy,-65.70269395084281,-22.767677237868217
6382,RN 9,0009,1912,ABRA PAMPA - LA QUIACA (ENT.),Jujuy,-65.6980021500694,-22.628688462260147
